YYYY-MM-DDTHH:MM:SS.S (UTC),Preferred Latitude,Preferred Longitude,Depth (km),Method,Magnitude,Strike,Dip,Rake,Err
2019-04-23T16:34:30.070000Z,-44.2007,168.522103,9.302,HypoDD,-0.041611695285522,NA,NA,NA,NA
2019-04-23T16:48:14.050000Z,-44.356136,168.386816,2.013,HypoDD,0.345055386710831,NA,NA,NA,NA
2019-04-23T19:25:14.000000Z,-44.163241,168.688184,5.486,HypoDD,-0.202249230061206,NA,NA,NA,NA
2019-04-23T20:47:01.160000Z,-44.204036,168.432845,6.311,HypoDD,1.95900043024284,147.924301075113,76.2376959353577,52.5524245687507,29.7111803125686
2019-04-23T21:00:56.880000Z,-44.108907,168.776302,0.892,HypoDD,-0.19689035723749,NA,NA,NA,NA
2019-04-23T21:11:59.960000Z,-44.178316,168.483936,7.733,HypoDD,-0.043619903183553,NA,NA,NA,NA
2019-04-23T22:07:48.120000Z,-44.245186,168.372135,5.728,HypoDD,-0.085838859181758,NA,NA,NA,NA
2019-04-23T22:08:21.940000Z,-44.24755,168.372884,5.666,HypoDD,-0.101615317556709,NA,NA,NA,NA
2019-04-23T23:49:02.000000Z,-44.247257,168.370719,5.877,HypoDD,0.11231456752711,NA,NA,NA,NA
2019-04-24T01:06:01.930000Z,-44.106071,168.777246,2.291,HypoDD,0.041269283711429,NA,NA,NA,NA
2019-04-24T01:06:31.000000Z,-44.245951,168.373551,5.621,HypoDD,0.107355650672217,NA,NA,NA,NA
2019-04-24T01:49:20.790000Z,-44.105164,168.764421,1.147,HypoDD,-0.150529980340286,NA,NA,NA,NA
2019-04-24T02:16:11.950000Z,-44.247607,168.372835,5.672,HypoDD,-0.049157881068056,NA,NA,NA,NA
2019-04-24T02:24:00.960000Z,-44.105615,168.777995,2.644,HypoDD,-0.133287732040708,NA,NA,NA,NA
2019-04-24T03:31:33.960000Z,-44.375488,168.357845,0.97,HypoDD,0.316862029321747,NA,NA,NA,NA
2019-04-24T04:52:07.980000Z,-44.17406,168.64847,7.339,HypoDD,0.022766091057887,NA,NA,NA,NA
2019-04-24T05:32:50.160000Z,-44.089689,168.846387,6.192,HypoDD,2.21617689972954,73.3143823351437,61.1645514489007,-120.514573496773,27.2732943575679
2019-04-24T06:12:41.070000Z,-44.204069,168.717773,8.334,HypoDD,0.84061218197325,236.644416635916,86.9921013246439,159.186150831739,26.949833358351
2019-04-24T07:10:06.010000Z,-44.106795,168.761458,2.766,HypoDD,0.609019125282276,NA,NA,NA,NA
2019-04-24T07:10:15.060000Z,-44.15494,168.767643,6.517,HypoDD,0.49726445381934,NA,NA,NA,NA
2019-04-24T07:12:58.950000Z,-44.103894,168.763086,4.071,HypoDD,-0.07156641254708,NA,NA,NA,NA
2019-04-24T09:01:29.040000Z,-44.154451,168.768913,6.685,HypoDD,-0.039793179379956,NA,NA,NA,NA
2019-04-24T09:31:02.100000Z,-44.100859,168.771924,4.441,HypoDD,0.275225900824095,NA,NA,NA,NA
2019-04-24T11:15:02.950000Z,-44.205086,168.723307,8.345,HypoDD,-0.10570607416239,NA,NA,NA,NA
2019-04-24T12:25:08.160000Z,-44.159078,168.751709,5.763,HypoDD,0.048386687432149,NA,NA,NA,NA
2019-04-24T13:33:04.860000Z,-44.109587,168.757894,1.172,HypoDD,-0.389175768615905,NA,NA,NA,NA
2019-04-24T13:38:43.845251Z,-44.239839,168.37932,0.731641,NonLinLoc,-0.053482479953125,NA,NA,NA,NA
2019-04-24T14:22:51.840000Z,-44.158659,168.406836,5.129,HypoDD,-0.23035805768606,NA,NA,NA,NA
2019-04-24T16:44:25.940000Z,-44.182674,168.691162,5.441,HypoDD,-0.324300640166089,NA,NA,NA,NA
2019-04-24T17:38:04.160000Z,-44.15494,168.767643,6.517,HypoDD,-0.176877086426106,NA,NA,NA,NA
2019-04-24T18:36:47.040000Z,-44.287561,168.402995,7.873,HypoDD,0.211624850995138,NA,NA,NA,NA
2019-04-24T20:05:45.920000Z,-44.165682,168.468018,4.652,HypoDD,-0.406052313650889,NA,NA,NA,NA
2019-04-24T20:51:15.940000Z,-44.109729,168.760075,1.61,HypoDD,0.079177899413828,NA,NA,NA,NA
2019-04-24T23:15:14.000000Z,-44.307646,168.907031,3.945,HypoDD,0.3507009661847,NA,NA,NA,NA
2019-04-25T03:32:30.970000Z,-44.100008,168.776676,4.162,HypoDD,0.36982392592288,NA,NA,NA,NA
2019-04-25T03:37:12.010000Z,-44.103402,168.773503,2.429,HypoDD,-0.311002997781709,NA,NA,NA,NA
2019-04-25T08:17:04.940000Z,-44.146541,168.445785,3.803,HypoDD,0.343098971947635,NA,NA,NA,NA
2019-04-25T11:32:46.040000Z,-44.148421,168.690771,2.365,HypoDD,0.515644496569521,NA,NA,NA,NA
2019-04-25T12:33:23.040000Z,-44.17679,168.464876,7.018,HypoDD,0.326246012798935,NA,NA,NA,NA
2019-04-25T13:34:00.890000Z,-44.111023,168.758577,1.338,HypoDD,0.033126457631399,NA,NA,NA,NA
2019-04-25T15:05:07.760000Z,-44.215531,168.654948,5.013,HypoDD,0.022899518791439,NA,NA,NA,NA
2019-04-25T15:36:14.070000Z,-44.10494,168.763509,4.892,HypoDD,1.23967405481732,314.461905764596,77.4674040855612,11.5679587416255,29.2256559922304
2019-04-25T19:43:21.000000Z,-44.176803,168.678988,5.481,HypoDD,0.165300862964699,NA,NA,NA,NA
2019-04-25T22:01:08.838394Z,-44.241913,168.762396,10.032227,NonLinLoc,0.401605642614438,NA,NA,NA,NA
2019-04-25T22:10:54.332867Z,-44.182666,168.819632,22.454688,NonLinLoc,0.451800574517997,NA,NA,NA,NA
2019-04-25T23:09:33.414858Z,-44.23519,168.763088,8.601367,NonLinLoc,0.186413487420174,NA,NA,NA,NA
2019-04-25T23:47:54.354697Z,-44.298087,168.325702,9.230078,NonLinLoc,0.102180617877479,NA,NA,NA,NA
2019-04-26T00:08:54.030000Z,-44.12039,168.770199,4.373,HypoDD,0.871523803089825,43.775435145468,89.4928155905657,-172.682439865879,28.4001551503712
2019-04-26T00:19:18.060000Z,-44.121403,168.766829,3.854,HypoDD,0.303302958140647,NA,NA,NA,NA
2019-04-26T00:56:37.060000Z,-44.099284,168.777946,4.267,HypoDD,1.02320022827082,NA,NA,NA,NA
2019-04-26T00:57:09.980000Z,-44.106502,168.774593,2.572,HypoDD,0.180801103341205,NA,NA,NA,NA
2019-04-26T01:35:58.100000Z,-44.105514,168.763167,4.284,HypoDD,1.89392674743368,330.935321112426,85.1527135448023,-10.7678564953231,25.77385655063
2019-04-26T02:04:31.090000Z,-44.106934,168.759619,3.998,HypoDD,0.439019798422221,NA,NA,NA,NA
2019-04-26T04:33:23.744579Z,-44.361739,168.530831,2.617773,NonLinLoc,0.56163859254671,NA,NA,NA,NA
2019-04-26T06:25:58.010000Z,-44.111747,168.428255,8.096,HypoDD,0.266734901304553,NA,NA,NA,NA
2019-04-26T06:50:36.090877Z,-44.056658,168.472709,8.341211,NonLinLoc,0.378167202325998,NA,NA,NA,NA
2019-04-26T15:34:19.980000Z,-44.103153,168.764551,4.746,HypoDD,0.887816844919213,NA,NA,NA,NA
2019-04-26T23:52:51.920000Z,-44.106344,168.425521,5.491,HypoDD,0.122991780406188,NA,NA,NA,NA
2019-04-27T03:46:35.044594Z,-44.435859,168.615814,6.411719,NonLinLoc,1.1392083398529,NA,NA,NA,NA
2019-04-27T11:32:46.060000Z,-44.171606,168.70057,5.235,HypoDD,0.253523121607456,NA,NA,NA,NA
2019-04-27T12:46:40.930000Z,-44.235055,168.375423,5.361,HypoDD,0.865485015897116,NA,NA,NA,NA
2019-04-27T17:35:07.000000Z,-44.12371,168.695394,6.092,HypoDD,0.333107320178884,NA,NA,NA,NA
2019-04-27T18:10:56.960000Z,-44.213647,168.465299,8.041,HypoDD,0.295296614041164,NA,NA,NA,NA
2019-04-27T22:52:05.040000Z,-44.103422,168.768538,3.76,HypoDD,1.20535733862638,NA,NA,NA,NA
2019-04-28T08:04:57.110000Z,-44.147799,168.807064,6.457,HypoDD,1.48937834655757,NA,NA,NA,NA
2019-04-28T09:49:41.050000Z,-44.177409,168.478548,7.191,HypoDD,0.890144067523632,323.244888337906,80.2733297129256,1.87572602266263,28.9174431886051
2019-04-28T10:49:59.010000Z,-44.260034,168.355322,4.946,HypoDD,0.889089533820263,NA,NA,NA,NA
2019-04-28T17:53:08.920000Z,-44.196366,168.671061,6.612,HypoDD,0.175108741208955,NA,NA,NA,NA
2019-04-28T18:21:05.960000Z,-44.196122,168.672054,5.446,HypoDD,0.188843153205721,NA,NA,NA,NA
2019-04-28T19:33:04.000000Z,-44.16298,168.650814,7.715,HypoDD,1.06260306003324,341.948055992481,65.3163685839474,-30.3983261589725,28.9823684210985
2019-04-29T03:54:21.090000Z,-44.163908,168.694157,3.699,HypoDD,0.878746076691245,86.3794958099403,65.6049432275686,-129.524520016131,29.2119475177519
2019-04-29T14:53:27.940000Z,-44.278353,168.509993,8.144,HypoDD,0.233555083153336,NA,NA,NA,NA
2019-04-29T16:06:08.940000Z,-44.196574,168.672933,5.649,HypoDD,0.151250610559566,NA,NA,NA,NA
2019-04-29T17:42:05.760000Z,-44.202747,168.791081,6.733,HypoDD,0.396868638325343,NA,NA,NA,NA
2019-04-29T19:57:36.160000Z,-44.185046,168.478678,5.369,HypoDD,0.850719203921847,16.2955185206935,37.4202292814774,104.657123124065,30.2075397054337
2019-04-29T21:08:50.000000Z,-44.197278,168.671289,5.954,HypoDD,0.231539124065166,NA,NA,NA,NA
2019-04-30T00:05:21.940000Z,-44.196232,168.67264,5.735,HypoDD,0.149380677285941,NA,NA,NA,NA
2019-04-30T01:33:18.940000Z,-44.088363,168.786605,5.728,HypoDD,0.411169469583847,NA,NA,NA,NA
2019-04-30T01:33:50.900000Z,-44.095121,168.801123,5.561,HypoDD,-0.068795728350925,NA,NA,NA,NA
2019-04-30T02:08:51.130000Z,-44.332145,168.594531,6.692,HypoDD,0.181386957441881,NA,NA,NA,NA
2019-04-30T02:42:49.030000Z,-44.100854,168.453743,3.008,HypoDD,0.081699500065737,NA,NA,NA,NA
2019-04-30T03:45:32.894320Z,-44.032301,168.992152,3.680078,NonLinLoc,0.308050711851015,NA,NA,NA,NA
2019-04-30T04:40:53.950000Z,-44.131478,168.739567,9.023,HypoDD,0.143714956913338,NA,NA,NA,NA
2019-04-30T04:46:04.980000Z,-44.133691,168.73488,8.767,HypoDD,0.524607579446103,NA,NA,NA,NA
2019-04-30T07:16:30.020000Z,-44.193937,168.682861,5.122,HypoDD,0.06034620349577,NA,NA,NA,NA
2019-04-30T08:09:55.060000Z,-44.119796,168.74318,6.617,HypoDD,0.979748406271598,NA,NA,NA,NA
2019-04-30T09:42:38.060000Z,-44.27817,168.550716,7.348,HypoDD,0.616798728312266,NA,NA,NA,NA
2019-04-30T13:28:50.990000Z,-44.148482,168.389909,5.233,HypoDD,-0.256166750718088,NA,NA,NA,NA
2019-04-30T18:09:17.880000Z,-44.094661,168.787484,4.943,HypoDD,-0.071799736833702,NA,NA,NA,NA
2019-04-30T18:56:25.060000Z,-44.09093,168.790853,5.7,HypoDD,0.849582054372747,NA,NA,NA,NA
2019-04-30T19:12:27.748379Z,-44.502913,168.58775,14.259766,NonLinLoc,0.475427790100182,NA,NA,NA,NA
2019-04-30T19:27:19.000000Z,-44.091484,168.789632,5.289,HypoDD,0.569189482472454,NA,NA,NA,NA
2019-04-30T20:17:18.040000Z,-44.234969,168.429118,1.924,HypoDD,-0.316917879376944,NA,NA,NA,NA
2019-04-30T20:35:42.900000Z,-44.244214,168.435726,1.16,HypoDD,-0.36225152748518,NA,NA,NA,NA
2019-04-30T20:47:13.000000Z,-44.092997,168.787891,5.092,HypoDD,0.788076735480276,NA,NA,NA,NA
2019-04-30T20:48:54.920000Z,-44.094076,168.787402,5.19,HypoDD,0.050309927885298,NA,NA,NA,NA
2019-04-30T21:30:51.880000Z,-44.093978,168.787581,5.124,HypoDD,0.00255002437935,NA,NA,NA,NA
2019-04-30T22:21:07.040000Z,-44.135706,168.734538,8.265,HypoDD,0.531030337849501,NA,NA,NA,NA
2019-04-30T22:32:43.020000Z,-44.147555,168.671094,5.756,HypoDD,0.455531347093008,NA,NA,NA,NA
2019-04-30T22:51:45.020000Z,-44.151343,168.444368,6.821,HypoDD,-0.086810571612673,NA,NA,NA,NA
2019-05-01T00:39:52.970000Z,-44.132821,168.732682,8.811,HypoDD,-0.260088826238137,NA,NA,NA,NA
2019-05-01T01:35:56.940000Z,-44.199113,168.683398,2.87,HypoDD,0.11730518447777,NA,NA,NA,NA
2019-05-01T01:45:20.490092Z,-44.267826,168.382668,7.322266,NonLinLoc,0.447554376222179,NA,NA,NA,NA
2019-05-01T03:17:40.900000Z,-44.192395,168.646549,5.594,HypoDD,0.268385422623038,NA,NA,NA,NA
2019-05-01T03:35:09.661714Z,-44.27238,168.92849,5.674609,NonLinLoc,3.21008155002669,286.95325554583,78.0008577902967,-150.457372346188,25.6043013021505
2019-05-01T05:08:57.960000Z,-44.198714,168.38016,7.647,HypoDD,-0.114149783191704,NA,NA,NA,NA
2019-05-01T09:24:09.900000Z,-44.212227,168.603206,4.861,HypoDD,-0.248378220347377,NA,NA,NA,NA
2019-05-01T12:42:26.970000Z,-44.050138,168.809017,7.149,HypoDD,0.710589193417526,NA,NA,NA,NA
2019-05-01T15:14:41.910000Z,-44.10734,168.757487,1.615,HypoDD,0.278375538111435,NA,NA,NA,NA
2019-05-01T15:45:38.930000Z,-44.106539,168.765951,1.691,HypoDD,-0.189594406501069,NA,NA,NA,NA
2019-05-01T16:46:26.970000Z,-44.048303,168.807666,7.113,HypoDD,0.090281344923287,NA,NA,NA,NA
2019-05-01T18:07:40.040000Z,-44.135213,168.734147,8.273,HypoDD,-0.027875861007347,NA,NA,NA,NA
2019-05-01T18:08:19.040000Z,-44.132817,168.732682,8.811,HypoDD,0.194558137880752,NA,NA,NA,NA
2019-05-01T18:25:53.940000Z,-44.194796,168.369743,7.535,HypoDD,-0.13813760635516,NA,NA,NA,NA
2019-05-01T18:29:59.960000Z,-44.047847,168.809505,7.142,HypoDD,0.045987142558711,NA,NA,NA,NA
2019-05-01T18:37:10.049998Z,-44.19648,168.360721,6.021484,NonLinLoc,-0.113688201427665,NA,NA,NA,NA
2019-05-01T22:07:00.860000Z,-44.215096,168.488184,6.439,HypoDD,-0.227781055795237,NA,NA,NA,NA
2019-05-01T22:16:43.897538Z,-44.456279,168.382844,-0.699219,NonLinLoc,0.972970887070531,NA,NA,NA,NA
2019-05-02T00:25:24.160000Z,-44.106038,168.761247,4.857,HypoDD,1.13969689151659,342.194331730222,86.2227981011424,30.9525419484433,27.6230646750564
2019-05-02T03:06:00.090000Z,-44.152722,168.525195,4.629,HypoDD,0.088740711598314,NA,NA,NA,NA
2019-05-02T03:16:50.778210Z,-44.298422,168.54656,-0.243945,NonLinLoc,0.536095064615173,NA,NA,NA,NA
2019-05-02T05:13:49.513986Z,-44.115351,168.519079,15.560547,NonLinLoc,0.138345473390345,NA,NA,NA,NA
2019-05-02T05:14:59.980000Z,-44.151326,168.527897,3.942,HypoDD,-0.38212696170511,NA,NA,NA,NA
