Longitude,Latitude,VE  AUS,VN  AUS,σE,σN
172.787,-42.395,-17.19,-5.44,0.65,0.54
172.773,-42.304,-15.14,-4.32,0.5,0.63
172.516,-42.008,-7.57,-0.19,0.54,0.48
170.051,-44.243,-28.39,-12.32,0.46,0.46
170.269,-44.105,-28.61,-12.01,0.7,0.65
170.112,-44.141,-27.74,-11.16,0.5,0.55
169.998,-44.314,-27.6,-12.3,1.23,1.08
169.994,-44.442,-29.33,-14.6,1.55,1.44
171.483,-42.785,-8.36,-1.61,2.1,1.43
171.528,-43.248,-26.06,-10.25,0.45,0.52
171.43,-43.175,-22.9,-8.99,0.54,0.55
172.974,-43.885,-32.22,-10.48,0.55,0.61
173.09,-43.764,-32.43,-10.24,0.64,0.64
172.673,-43.794,-32.03,-10.29,0.51,0.51
172.32,-43.083,-28.45,-10.2,0.55,0.57
171.557,-42.883,-15.71,-4.72,0.87,0.57
175.417,-40.873,-20.63,-8.6,0.55,0.45
172.118,-43.502,-31.47,-10.81,0.62,0.66
172.003,-43.38,-30.78,-10.7,0.55,0.52
171.875,-43.33,-29.82,-10.93,0.64,0.63
171.71,-43.294,-27.6,-10.49,0.53,0.61
171.725,-43.213,-26.35,-9.66,0.56,0.59
171.779,-43.092,-24.74,-9.03,0.56,0.52
171.735,-43.008,-22.7,-9.58,2.06,2.16
171.589,-43.009,-21.22,-6.43,0.49,0.58
171.592,-42.982,-20.16,-5.84,0.55,0.52
171.569,-42.95,-18.64,-4.95,0.74,0.59
171.559,-42.908,-17.44,-4.83,0.67,0.52
171.561,-42.832,-13.85,-4.19,0.69,0.67
171.598,-42.79,-12.59,-3.54,0.56,0.86
171.624,-42.769,-12.01,-2.69,0.62,0.58
171.565,-42.759,-10.76,-2.04,0.6,0.51
171.523,-42.744,-9.49,-1.41,0.56,0.64
171.35,-42.768,-7.5,-0.91,0.63,0.52
171.291,-42.736,-6.21,-1.04,0.63,0.53
171.206,-42.662,-4.67,-0.58,0.78,0.69
171.14,-42.594,-3.81,-0.39,0.7,0.74
171.137,-42.888,-7.69,-1.66,0.53,0.51
171.483,-42.574,-5.85,-0.79,0.54,0.6
171.611,-43.538,-30.15,-11.54,0.51,0.49
171.995,-43.776,-31.98,-11.16,0.46,0.62
175.028,-41.191,-24.39,-8.08,0.42,0.43
175.011,-41.137,-21.88,-7.1,0.43,0.44
